city_en,country_en,daily_usd,shopping_poi
Bangkok,Thailand,100,400
Singapore,Singapore,178,260
Kuala_Lumpur,Malaysia,80,300
Jakarta,Indonesia,70,280
Bali,Indonesia,86,200
Hanoi,Vietnam,57,180
Ho_Chi_Minh_City,Vietnam,89,250
Phuket,Thailand,132,210
Chiang_Mai,Thailand,58,140
Siem_Reap,Cambodia,95,120
Phnom_Penh,Cambodia,72,150
Vientiane,Laos,24,80
Luang_Prabang,Laos,38,90
Yangon,Myanmar,70,120
Seoul,South Korea,124,500
Busan,South Korea,100,250
Jeju,South Korea,110,120
Tokyo,Japan,192,550
Osaka,Japan,150,450
Kyoto,Japan,140,300
Taipei,Taiwan,192,400
Hong_Kong,China (SAR),210,600
Shanghai,China,160,550
Beijing,China,150,500
Guangzhou,China,130,400
Shenzhen,China,135,450
New_Delhi,India,60,300
Mumbai,India,70,320
Kathmandu,Nepal,40,100
Ulaanbaatar,Mongolia,55,80
